Date,Times,Mean,Duration
2011-08-01,0,22,0
2011-08-02,0,22,0
2011-08-03,0,23,0
2011-08-04,0,21,0
2011-08-05,3,20,186
2011-08-06,0,18,0
2011-08-07,0,16,0
2011-08-08,0,16,0
2011-08-09,0,16,0
2011-08-10,0,17,0
2011-08-11,0,18,0
2011-08-12,0,20,0
2011-08-13,0,18,0
2011-08-14,0,18,0
2011-08-15,0,16,0
2011-08-16,0,18,0
2011-08-17,0,17,0
2011-08-18,0,14,0
2011-08-19,0,14,0
2011-08-20,0,18,0
2011-08-21,0,18,0
2011-08-22,0,16,0
2011-08-23,0,16,0
2011-08-24,0,18,0
2011-08-25,0,17,0
2011-08-26,0,16,0
2011-08-27,0,15,0
2011-08-28,0,16,0
2011-08-29,0,14,0
2011-08-30,0,14,0
2011-08-31,0,16,0
2011-09-01,0,16,0
2011-09-02,0,20,0
2011-09-03,0,19,0
2011-09-04,0,18,0
2011-09-05,0,15,0
2011-09-06,0,16,0
2011-09-07,1,14,112
2011-09-08,1,16,166
2011-09-09,0,18,0
2011-09-10,0,19,0
2011-09-11,0,18,0
2011-09-12,0,18,0
2011-09-13,0,16,0
2011-09-14,0,15,0
2011-09-15,0,14,0
2011-09-16,0,16,0
2011-09-17,0,14,0
2011-09-18,0,12,0
2011-09-19,0,14,0
2011-09-20,0,17,0
2011-09-21,0,16,0
2011-09-22,0,16,0
2011-09-23,0,13,0
2011-09-24,0,14,0
2011-09-25,0,16,0
2011-09-26,0,18,0
2011-09-27,0,16,0
2011-09-28,0,18,0
2011-09-29,0,20,0
2011-09-30,0,20,0
2011-10-01,0,20,0
2011-10-02,0,20,0
2011-10-03,1,20,206
2011-10-04,0,18,0
2011-10-05,0,17,0
2011-10-06,0,14,0
2011-10-07,4,12,582
2011-10-08,2,12,202
2011-10-09,1,18,94
2011-10-10,1,18,96
2011-10-11,0,18,0
2011-10-12,0,17,0
2011-10-13,2,14,232
2011-10-14,0,12,0
2011-10-15,2,12,184
2011-10-16,1,11,130
2011-10-17,2,12,232
2011-10-18,4,12,366
2011-10-19,2,8,232
2011-10-20,2,7,220
2011-10-21,2,10,224
2011-10-22,4,9,516
2011-10-23,3,14,372
2011-10-24,3,15,272
2011-10-25,2,13,206
2011-10-26,2,10,376
2011-10-27,3,10,374
2011-10-28,2,12,224
2011-10-29,3,14,318
2011-10-30,0,14,0
2011-10-31,2,14,216
2011-11-01,2,12,232
2011-11-02,2,12,268
2011-11-03,1,15,140
2011-11-04,3,13,318
2011-11-05,3,12,334
2011-11-06,4,10,650
2011-11-07,2,12,220
2011-11-08,2,10,230
2011-11-09,4,12,502
2011-11-10,3,12,466
2011-11-11,3,10,314
2011-11-12,4,14,340
2011-11-13,2,13,180
2011-11-14,4,9,522
2011-11-15,3,8,352
2011-11-16,3,6,486
2011-11-17,2,10,256
2011-11-18,1,11,94
2011-11-19,2,10,336
2011-11-20,3,6,294
2011-11-21,3,8,470
2011-11-22,4,10,518
2011-11-23,4,7,562
2011-11-24,3,11,454
2011-11-25,2,10,340
2011-11-26,4,10,586
2011-11-27,2,8,350
2011-11-28,3,6,312
2011-11-29,5,10,480
2011-11-30,6,9,516
2011-12-01,6,9,514
2011-12-02,2,6,338
2011-12-03,4,9,426
2011-12-04,3,6,334
2011-12-05,4,5,386
2011-12-06,3,4,492
2011-12-07,2,6,246
2011-12-08,4,8,622
2011-12-09,4,6,558
2011-12-10,1,2,190
2011-12-11,4,5,352
2011-12-12,6,6,544
2011-12-13,6,8,590
2011-12-14,6,4,578
2011-12-15,2,6,424
2011-12-16,1,4,266
2011-12-17,1,2,390
2011-12-18,2,2,310
2011-12-19,1,2,250
2011-12-20,1,6,246
2011-12-21,2,10,196
2011-12-22,0,10,0
2011-12-23,0,8,0
2011-12-24,0,6,0
2011-12-25,0,10,0
2011-12-26,0,12,0
2011-12-27,0,9,0
2011-12-28,0,8,0
2011-12-29,0,8,0
2011-12-30,0,8,0
2011-12-31,1,10,350
2012-01-01,6,10,516
2012-01-02,5,7,468
2012-01-03,1,8,218
2012-01-04,0,8,0
2012-01-05,1,10,238
2012-01-06,2,6,270
2012-01-07,1,9,244
2012-01-08,2,8,396
2012-01-09,1,9,260
2012-01-10,1,10,218
2012-01-11,1,9,238
2012-01-12,1,8,250
2012-01-13,1,4,238
2012-01-14,2,2,488
2012-01-15,1,3,126
2012-01-16,2,2,334
2012-01-17,1,2,250
2012-01-18,1,8,256
2012-01-19,1,8,250
2012-01-20,1,8,268
2012-01-21,0,10,0
2012-01-22,1,9,150
2012-01-23,1,6,172
2012-01-24,1,6,260
2012-01-25,1,10,256
2012-01-26,2,7,400
2012-01-27,1,6,252
2012-01-28,2,4,300
2012-01-29,1,4,114
2012-01-30,2,2,252
2012-01-31,1,0,116
2012-02-01,1,2,248
2012-02-02,1,0,242
2012-02-03,1,-2,198
2012-02-04,1,-2,244
2012-02-05,0,0,0
2012-02-06,2,3,484
2012-02-07,1,0,246
2012-02-08,1,-1,470
2012-02-09,1,0,246
2012-02-10,1,-1,242
2012-02-11,0,-2,0
2012-02-12,0,0,0
2012-02-13,0,4,0
2012-02-14,0,6,0
2012-02-15,1,8,98
2012-02-16,1,7,100
2012-02-17,1,8,312
2012-02-18,0,7,0
2012-02-19,0,3,0
2012-02-20,0,3,0
2012-02-21,3,8,292
2012-02-22,3,10,434
2012-02-23,1,13,112
2012-02-24,2,12,332
2012-02-25,2,8,284
2012-02-26,2,8,228
2012-02-27,1,8,252
2012-02-28,1,12,224
2012-02-29,2,11,320
2012-03-01,1,9,150
2012-03-02,1,8,214
2012-03-03,2,11,326
2012-03-04,3,6,364
2012-03-05,1,6,254
2012-03-06,1,5,250
2012-03-07,1,8,246
2012-03-08,1,6,260
2012-03-09,2,8,336
2012-03-10,3,12,316
2012-03-11,3,10,330
2012-03-12,1,9,112
2012-03-13,1,9,216
2012-03-14,2,8,238
2012-03-15,2,8,230
2012-03-16,2,10,380
2012-03-17,1,9,212
2012-03-18,1,6,148
2012-03-19,2,7,262
2012-03-20,1,9,168
2012-03-21,1,12,110
2012-03-22,2,12,258
2012-03-23,1,14,94
2012-03-24,0,13,0
2012-03-25,2,10,254
2012-03-26,1,11,126
2012-03-27,1,12,108
2012-03-28,2,13,240
2012-03-29,0,13,0
2012-03-30,0,12,0
2012-03-31,2,9,206
2012-04-01,3,7,340
2012-04-02,1,9,114
2012-04-03,2,9,196
2012-04-04,1,6,182
2012-04-05,2,6,294
2012-04-06,1,6,216
2012-04-07,2,9,288
2012-04-08,4,10,414
2012-04-09,6,11,546
2012-04-10,3,10,408
2012-04-11,1,8,204
2012-04-12,2,8,334
2012-04-13,2,8,224
2012-04-14,3,8,294
2012-04-15,3,6,362
2012-04-16,1,6,216
2012-04-17,1,10,262
2012-04-18,1,8,320
2012-04-19,3,9,288
2012-04-20,1,8,240
2012-04-21,1,8,224
2012-04-22,2,10,178
2012-04-23,3,8,450
2012-04-24,3,10,312
2012-04-25,5,9,456
2012-04-26,3,11,392
2012-04-27,1,12,258
2012-04-28,1,10,254
2012-04-29,4,10,482
2012-04-30,3,14,296
2012-05-01,2,14,196
2012-05-02,4,13,376
2012-05-03,4,12,378
2012-05-04,3,8,350
2012-05-05,2,8,358
2012-05-06,3,8,328
2012-05-07,2,9,300
2012-05-08,3,14,458
2012-05-09,2,14,228
2012-05-10,1,16,194
2012-05-11,1,12,94
2012-05-12,1,10,108
2012-05-13,0,10,0
2012-05-14,3,10,428
2012-05-15,4,8,558
2012-05-16,2,8,384
2012-05-17,1,10,154
2012-05-18,3,12,304
2012-05-19,2,14,366
2012-05-20,2,11,226
2012-05-21,2,13,262
2012-05-22,1,18,108
2012-05-23,0,20,0
2012-05-24,0,22,0
2012-05-25,0,21,0
2012-05-26,0,20,0
2012-05-27,0,20,0
2012-05-28,0,20,0
2012-05-29,0,18,0
2012-05-30,0,19,0
2012-05-31,0,17,0
2012-06-01,0,16,0
2012-06-02,0,16,0
2012-06-03,0,14,0
2012-06-04,0,10,0
2012-06-05,3,11,418
2012-06-06,2,14,170
2012-06-07,0,14,0
2012-06-08,0,14,0
2012-06-09,2,14,452
2012-06-10,2,12,194
2012-06-11,1,13,268
2012-06-12,4,12,356
2012-06-13,3,12,324
2012-06-14,1,12,144
2012-06-15,2,16,204
2012-06-16,3,16,276
2012-06-17,1,16,104
2012-06-18,0,15,0
2012-06-19,0,14,0
2012-06-20,0,17,0
2012-06-21,0,16,0
2012-06-22,2,14,196
2012-06-23,2,15,228
2012-06-24,1,16,112
2012-06-25,0,16,0
2012-06-26,0,18,0
2012-06-27,0,20,0
2012-06-28,0,21,0
2012-06-29,0,18,0
2012-06-30,0,18,0
2012-07-01,0,14,0
2012-07-02,2,15,186
2012-07-03,0,17,0
2012-07-04,1,18,114
2012-07-05,0,18,0
2012-07-06,0,17,0
2012-07-07,2,16,236
2012-07-08,1,18,88
2012-07-09,0,17,0
2012-07-10,0,16,0
2012-07-11,1,16,106
2012-07-12,0,14,0
2012-07-13,0,16,0
2012-07-14,1,15,122
2012-07-15,2,15,208
2012-07-16,1,15,82
2012-07-17,0,18,0
2012-07-18,0,18,0
2012-07-19,0,16,0
2012-07-20,0,16,0
2012-07-21,0,16,0
2012-07-22,0,18,0
2012-07-23,0,20,0
2012-07-24,0,22,0
2012-07-25,0,23,0
2012-07-26,0,22,0
2012-07-27,0,20,0
2012-07-28,0,19,0
2012-07-29,0,15,0
2012-07-30,0,14,0
2012-07-31,0,16,0
2012-08-01,0,18,0
2012-08-02,0,18,0
2012-08-03,0,18,0
2012-08-04,0,18,0
2012-08-05,0,16,0
2012-08-06,0,18,0
2012-08-07,0,16,0
2012-08-08,0,18,0
2012-08-09,0,20,0
2012-08-10,0,20,0
2012-08-11,0,20,0
2012-08-12,0,20,0
2012-08-13,0,18,0
2012-08-14,0,21,0
2012-08-15,0,20,0
2012-08-16,0,18,0
2012-08-17,0,22,0
2012-08-18,0,24,0
2012-08-19,0,24,0
2012-08-20,0,22,0
2012-08-21,0,20,0
2012-08-22,0,18,0
2012-08-23,0,17,0
2012-08-24,0,16,0
2012-08-25,0,18,0
2012-08-26,0,17,0
2012-08-27,0,16,0
2012-08-28,0,18,0
2012-08-29,0,16,0
2012-08-30,0,14,0
2012-08-31,0,12,0
2012-09-01,0,18,0
2012-09-02,0,16,0
2012-09-03,0,20,0
2012-09-04,0,19,0
2012-09-05,0,16,0
2012-09-06,0,15,0
2012-09-07,0,18,0
2012-09-08,0,18,0
2012-09-09,0,18,0
2012-09-10,0,18,0
2012-09-11,0,14,0
2012-09-12,1,13,106
2012-09-13,0,12,0
2012-09-14,0,16,0
2012-09-15,0,15,0
2012-09-16,0,16,0
2012-09-17,1,16,98
2012-09-18,0,13,0
2012-09-19,0,12,0
2012-09-20,0,13,0
2012-09-21,1,14,254
2012-09-22,0,11,0
2012-09-23,2,10,242
2012-09-24,2,13,252
2012-09-25,2,13,282
2012-09-26,1,12,120
2012-09-27,2,14,178
2012-09-28,2,13,260
2012-09-29,2,12,198
2012-09-30,3,12,274
2012-10-01,2,14,288
2012-10-02,2,14,254
2012-10-03,2,12,308
2012-10-04,2,11,194
2012-10-05,1,12,120
